종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1462","-82","-5.31","1536","1536","1400","944915","1397586732","77572316480","53059040"
"095570","AJ네트웍스","KOSPI",,"4790","135","2.90","4705","4835","4615","490129","2313032935","216760715610","45252759"
"006840","AK홀딩스","KOSPI",,"7990","230","2.96","7760","8005","7590","21733","167748395","105848012390","13247561"
"054620","APS","KOSDAQ","중견기업부","5570","-260","-4.46","5520","5650","5200","217202","1190343195","102455810970","18394221"
"079810","APS이노베이션","KOSDAQ","우량기업부","5170","-200","-3.72","5220","5290","4910","281559","1442135870","111300245980","21528094"
"265520","AP시스템","KOSDAQ","우량기업부","26250","100","0.38","25750","26650","24600","109285","2805835300","395084051250","15050821"
"211270","AP위성","KOSDAQ","우량기업부","18020","2620","17.01","15900","18940","15650","2712882","48599871080","271783118080","15082304"
"027410","BGF","KOSPI",,"4880","-95","-1.91","4980","5000","4790","276292","1354697635","467097940080","95716791"
"282330","BGF리테일","KOSPI",,"136200","-4500","-3.20","140700","141000","132900","51476","6976170450","2354067997200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3865","-170","-4.21","4040","4040","3830","544415","2113101126","242594064635","62766899"
"138930","BNK금융지주","KOSPI",,"17260","-60","-0.35","17340","17500","16710","1249232","21464509860","5356244589580","310327033"
"001460","BYC","KOSPI",,"45500","850","1.90","44150","46450","42000","7473","337944750","284199825000","6246150"
"001465","BYC우","KOSPI",,"31000","-750","-2.36","31200","31200","30400","1702","52099450","66769350000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1135","6","0.53","1129","1139","1064","142958","156734039","87274896570","76894182"
"001040","CJ","KOSPI",,"170300","-46700","-21.52","216000","216000","169900","839526","148618385750","4968842759400","29176998"
"079160","CJ CGV","KOSPI",,"4915","15","0.31","4900","5000","4770","435576","2108648841","813837422275","165582385"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","42500","-1400","-3.19","43300","43650","42100","81491","3463697900","931989045000","21929154"
